Posted Date,Job Title,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-10-18 20:49:55.599354,Experienced Automation Tester,Automation Test,Capgemini Vietnam,At office,IT Service and IT Consulting,IT Services and IT Consulting,301-500,France
2024-10-18 20:49:55.599354,Senior .Net Developer (French speaking),.NET,Capgemini Vietnam,At office,IT Service and IT Consulting,IT Services and IT Consulting,301-500,France
2024-10-18 20:49:55.599354,Frontend Reactjs Developer,ReactJS,Capgemini Vietnam,At office,IT Service and IT Consulting,IT Services and IT Consulting,301-500,France
2024-10-18 20:49:55.599354,IT Comtor (Japanese N1/N2),Japanese,WBC Việt Nam,At office,IT Outsourcing,IT Services and IT Consulting,1-50,Vietnam
2024-10-18 20:49:55.599354,"Mid/Senior Product Owner (Agile, PPO)",Agile,MTI TECHNOLOGY,At office,IT Product,IT Services and IT Consulting,151-300,Japan
2024-10-18 20:49:55.599354,"Principal Backend Engineer (Java,Spring Boot)",Java,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,IT Product,Financial Services,301-500,Japan
2024-10-18 20:49:55.599354,SRE/ DevOps Engineer (AWS),AWS,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,IT Product,Financial Services,301-500,Japan
2024-10-18 20:49:55.599354,"Sr./Lead Backend (NodeJS, JavaScript)",NodeJS,Silicon Prime Labs,Hybrid,IT Outsourcing,Software Development Outsourcing,51-150,United States
2024-10-18 20:49:55.599354,Cyber Security Manager (Governance/InfraSec),Security,Be Group,At office,IT Product,"Transportation, Logistics and Warehouse",301-500,Vietnam
2024-10-18 20:49:55.599354,Senior iOS Native Engineer (Swift),iOS,"ANDPAD VietNam Co., Ltd",Hybrid,IT Product,IT Services and IT Consulting,51-150,Japan
2024-10-18 20:49:55.599354,Senior QA/QC Test Engineer/Designer (Japanese N2+),Tester,"ANDPAD VietNam Co., Ltd",Hybrid,IT Product,IT Services and IT Consulting,51-150,Japan
2024-10-18 20:49:55.599354,"Senior Golang Developer (Backend, AWS, MySQL)",Golang,"ANDPAD VietNam Co., Ltd",Hybrid,IT Product,IT Services and IT Consulting,51-150,Japan
2024-10-18 20:49:55.599354,Resilience & Incident Manager - Digital Banking,Manager,TymeX,Hybrid,IT Product,Banking,301-500,Singapore
2024-10-18 20:49:55.599354,Incident Manager - Digital Banking,Manager,TymeX,Hybrid,IT Product,Banking,301-500,Singapore
2024-10-18 20:49:55.599354,Mid Mobile Trading System Developer (Android/iOS),JavaScript,Daoukiwoom Innovation,At office,IT Service and IT Consulting,IT Services and IT Consulting,51-150,South Korea
2024-10-18 20:49:55.599354,"Java Backend Developer (Spring, SQL)",Java,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-10-18 20:49:55.599354,"DevOps Engineer (Python, AWS, Linux)",DevOps,Techcom Securities,At office,IT Product,Financial Services,151-300,Vietnam
2024-10-18 20:49:55.599354,Service Desk Engineer,IT Support,ELCA,At office,IT Service and IT Consulting,N/A,301-500,Switzerland
