Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-18 20:49:55.599354,Network Administrator ( Linux/ System Engineer ),System Engineer,Linux,Networking,MB Bank,At office,Ha Noi,IT Product,N/A,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,Senior Business Analyst - Ban Dự án,Business Analyst,QA QC,NULL,MB Bank,At office,Ha Noi,IT Product,N/A,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,DevOps Engineer (Agile/ Oracle) - Khối CNTT,DevOps,Agile,Oracle,MB Bank,At office,Ha Noi,IT Product,N/A,1000+,Vietnam,Monday - Friday,
2024-10-18 20:49:55.599354,Senior Unix System Administrator,System Admin,System Engineer,NULL,Renesas Design Vietnam,At office,Ho Chi Minh,IT Product,IT Hardware and Computing,1000+,Japan,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,Middle/Senior Fullstack Developer (.NET & ReactJS),.NET,Database,ReactJS,GrapeCity,At office,Ha Noi,IT Product,N/A,51-150,Japan,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,Fullstack Developer ( Python/ JavaScript/ NoSQL )~$2000,Python,JavaScript,NoSQL,"BII HIGH TECHNOLOGY., JSC",At office,Ha Noi,IT Product,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Junior C++ Developer,C++,C language,Designer,DTS Software Vietnam,At office,Ha Noi,IT Outsourcing,Software Development Outsourcing,151-300,Japan,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,Senior Backend Engineer (Java Spring Boot) ~2000$,Java,English,Spring,Nitori Digital Base Vietnam,At office,Ha Noi,IT Product,Software Products and Web Services,1-50,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Java Web Full-Stack Developer (Spring Boot),Spring,Java,NULL,DTS Software Vietnam,At office,Ha Noi,IT Outsourcing,Software Development Outsourcing,151-300,Japan,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,Project Leader/ Manager - thị trường Nhật,Project Manager,Agile,Java,DTS Software Vietnam,At office,Ha Noi,IT Outsourcing,Software Development Outsourcing,151-300,Japan,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,"Manual Tester (SQL, QA QC, Test Web, Data Test)",Tester,Database,SQL,DTS Software Vietnam,At office,Ha Noi,IT Outsourcing,Software Development Outsourcing,151-300,Japan,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,"Backend Dev (PHP, Laravel) up to 2000$",PHP,Japanese,Laravel,ITZ,At office,Da Nang,IT Product,IT Services and IT Consulting,1-50,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Site Reliability Engineer,AWS,English,Azure,Pizza Hut Digital & Technology,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,United Kingdom,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Front End ( .NET/ Angular/ HTML),.NET,HTML5,Angular,Motorola Solutions,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,United States,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,"Back End (C#, .NET, PostgreSQL)",C#,.NET,PostgreSql,Motorola Solutions,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,1000+,United States,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,"Mid/Senior QA Engineer (Manual,Auto,Agile)",Tester,Agile,NULL,MTI TECHNOLOGY,Hybrid,Ho Chi Minh,IT Product,IT Services and IT Consulting,151-300,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Java API Engineer,Java,AWS,Spring,TymeX,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-10-18 20:49:55.599354,[HCM] Middle/Senior Scrum Master,Scrum,Agile,English,MTI TECHNOLOGY,Hybrid,Ho Chi Minh,IT Product,IT Services and IT Consulting,151-300,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"Backend Developer (PHP, Laravel, MVC, OOP)",PHP,MVC,Laravel,Macromill South East Asia Việt Nam,Hybrid,Ho Chi Minh,IT Service and IT Consulting,Research Services,1-50,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Middle Fullstack Javascript Developer (Vuejs/Nodejs),JavaScript,NodeJS,VueJS,AZoom VietNam,At office,Ha Noi - Da Nang,IT Product,"Real Estate, Property and Construction",51-150,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Experienced Automation Tester,Automation Test,Java,NULL,Capgemini Vietnam,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,301-500,France,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Senior .Net Developer (French speaking),.NET,C#,NULL,Capgemini Vietnam,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,301-500,France,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Frontend Reactjs Developer,ReactJS,JavaScript,NULL,Capgemini Vietnam,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,301-500,France,Monday - Friday,No OT
